region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA24780,5758,171,221,137,3,6290,6140,113,111,16,5,6385,1968,404,565,4,0,2941,480,106,249,3,0,838,1036,59,103,31,0,1229,65,38,47,0,0,150,210,21,30,99,0,360,152,12,17,9,0,190,3911,640,1011,146,0,5708,109,16,21,6,0,152,495,65,114,41,0,715,16413,1005,1478,346,8,19250
LGA24850,3348,96,81,33,0,3558,5109,109,57,18,0,5293,871,104,181,8,0,1164,260,43,62,0,0,365,506,32,42,13,0,593,17,7,0,0,0,24,288,25,12,36,0,361,56,3,3,3,0,65,1998,214,300,60,0,2572,53,18,8,0,0,79,255,27,18,13,0,313,10763,464,464,124,0,11815
LGA24900,3996,99,174,113,7,4389,3326,42,41,12,0,3421,772,81,227,3,0,1083,200,29,97,0,0,326,580,35,83,17,5,720,13,3,21,0,0,37,160,3,20,34,0,217,114,0,12,0,0,126,1839,151,460,54,5,2509,72,10,16,0,0,98,267,8,47,9,0,331,9500,310,738,188,12,10748
LGA24970,21910,1801,1060,9,4,24784,14357,1852,1184,14,7,17414,5729,2076,2312,34,13,10164,532,306,251,0,0,1089,2118,496,562,23,4,3203,88,51,42,0,0,181,150,31,58,3,8,250,212,45,43,0,0,300,8829,3005,3268,60,25,15187,239,47,244,3,0,533,1112,176,166,4,0,1458,46447,6881,5922,90,36,59376
LGA25060,13096,1209,1018,14,4,15341,8840,1568,1393,14,4,11819,2709,1325,3376,40,6,7456,165,167,1656,0,0,1988,1099,380,571,27,3,2080,50,22,84,0,0,156,64,16,47,7,0,134,123,23,51,3,0,200,4210,1933,5785,77,9,12014,136,19,53,0,0,208,744,103,330,0,0,1177,27026,4832,8579,105,17,40559
LGA25150,3290,32,89,38,0,3449,4506,18,45,5,0,4574,679,35,134,3,0,851,169,4,74,3,0,250,398,3,39,6,0,446,17,0,13,0,0,30,72,0,11,15,0,98,47,3,15,0,0,65,1382,45,286,27,0,1740,58,0,6,3,0,67,218,4,23,3,0,248,9454,99,449,76,0,10078
LGA25250,16097,1861,1000,29,9,18996,11351,2796,1885,49,10,16091,4518,3138,4993,70,9,12728,461,426,571,0,0,1458,1980,777,812,49,6,3624,48,31,90,4,0,173,200,59,61,14,0,334,195,66,168,5,0,434,7402,4497,6695,142,15,18751,200,44,52,0,0,296,1173,267,263,6,0,1709,36223,9465,9895,226,34,55843
LGA25340,17867,1931,818,352,6,20974,18636,765,348,32,3,19784,4908,1086,718,13,0,6725,589,252,179,3,0,1023,2079,260,201,29,3,2572,46,21,9,0,0,76,318,41,29,94,0,482,260,27,20,7,0,314,8200,1687,1156,146,3,11192,244,297,66,3,4,614,1137,264,158,23,5,1587,46084,4944,2546,556,21,54151
LGA25430,3111,23,62,33,0,3229,2275,17,15,7,3,2317,472,30,43,3,0,548,53,35,73,0,0,161,413,13,28,10,3,467,16,0,8,0,0,24,29,0,0,11,0,40,50,0,3,0,0,53,1033,78,155,24,3,1293,42,3,3,3,0,51,175,8,24,3,0,210,6636,129,259,70,6,7100
LGA25490,2444,33,10,21,0,2508,1859,18,4,10,0,1891,288,22,14,0,0,324,35,27,5,0,0,67,455,13,5,8,0,481,14,4,0,0,0,18,159,3,0,4,0,166,124,3,0,0,0,127,1075,72,24,12,0,1183,67,0,0,0,0,67,148,6,0,0,0,154,5593,129,38,43,0,5803
