objectid,lga_code_2022,lga_name_2022,area_albers_sqkm,asgs_loci_uri_2022,psh_dwl_1415,psh_val_1415,pxh_dwl_1415,pxh_val_1415,ptot_dwl_1415,pdwl_val_1415,totdwl_dwl_1415,totdwl_val_1415,nonres_val_1415,res_val_1415,tbld_val_1415,psh_dwl_1516,psh_val_1516,pxh_dwl_1516,pxh_val_1516,ptot_dwl_1516,pdwl_val_1516,totdwl_dwl_1516,totdwl_val_1516,nonres_val_1516,res_val_1516,tbld_val_1516,psh_dwl_1617,psh_val_1617,pxh_dwl_1617,pxh_val_1617,ptot_dwl_1617,pdwl_val_1617,totdwl_dwl_1617,totdwl_val_1617,nonres_val_1617,res_val_1617,tbld_val_1617,psh_dwl_1718,psh_val_1718,pxh_dwl_1718,pxh_val_1718,ptot_dwl_1718,pdwl_val_1718,totdwl_dwl_1718,totdwl_val_1718,nonres_val_1718,res_val_1718,tbld_val_1718,psh_dwl_1819,psh_val_1819,pxh_dwl_1819,pxh_val_1819,ptot_dwl_1819,pdwl_val_1819,totdwl_dwl_1819,totdwl_val_1819,nonres_val_1819,res_val_1819,tbld_val_1819,psh_dwl_1920,psh_val_1920,pxh_dwl_1920,pxh_val_1920,ptot_dwl_1920,pdwl_val_1920,totdwl_dwl_1920,totdwl_val_1920,nonres_val_1920,res_val_1920,tbld_val_1920,psh_dwl_2021,psh_val_2021,pxh_dwl_2021,pxh_val_2021,ptot_dwl_2021,pdwl_val_2021,totdwl_dwl_2021,totdwl_val_2021,nonres_val_2021,res_val_2021,tbld_val_2021,psh_dwl_2122,psh_val_2122,pxh_dwl_2122,pxh_val_2122,ptot_dwl_2122,pdwl_val_2122,totdwl_dwl_2122,totdwl_val_2122,nonres_val_2122,res_val_2122,tbld_val_2122,psh_dwl_2223,psh_val_2223,pxh_dwl_2223,pxh_val_2223,ptot_dwl_2223,pdwl_val_2223,totdwl_dwl_2223,totdwl_val_2223,nonres_val_2223,res_val_2223,tbld_val_2223,globalid,Shape__Area,Shape__Length
77,15350,Mosman,8.6503,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15350,35.0,177.671957,85.0,36.03884,120.0,213.710797,120.0,213.710797,32.352096,234.423056,266.775152,21.0,132.264029,97.0,55.86409,118.0,188.128119,118.0,188.128119,26.057755,198.854096,224.911851,19.0,87.2443,11.0,13.258996,30.0,100.503296,30.0,100.503296,0.969406,103.15974,104.129146,11.0,87.493775,13.0,11.269043,24.0,98.762818,24.0,98.762818,88.076467,105.159171,193.235638,13.0,123.25203,19.0,11.594894,32.0,134.846924,32.0,134.846924,52.477308,145.476588,197.953896,11.0,83.180758,,,11.0,83.180758,11.0,83.180758,8.539904,89.646964,98.186868,13.0,122.06846,36.0,21.308876,49.0,143.377336,49.0,143.377336,29.259941,153.134361,182.394302,18.0,137.725541,42.0,46.494913,60.0,184.220454,60.0,184.220454,6.160581,191.490808,197.651389,11.0,113.010191,4.0,8.0068,15.0,121.016991,15.0,124.780908,38.170722,132.603667,170.774389,56d7dc8c-3f8d-4a5f-a16b-2e6f283bc631,0.000842540190205909,0.216078495138323
78,15520,Murray River,11863.0162,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15520,63.0,21.845282,,,63.0,21.845282,63.0,21.845282,3.390977,22.713823,26.1048,69.0,24.660231,,,69.0,24.660231,69.0,25.569735,7.582706,26.899963,34.482669,91.0,30.592342,,,91.0,30.592342,91.0,30.592342,2.694431,31.25396,33.948391,90.0,31.915731,3.0,0.77,93.0,32.685731,93.0,32.685731,14.614753,33.806473,48.421226,93.0,34.151943,,,93.0,34.151943,93.0,34.639943,5.272479,36.406229,41.678708,105.0,42.061047,,,105.0,42.061047,105.0,42.061047,5.883127,43.327369,49.210496,149.0,60.123941,,,149.0,60.123941,149.0,60.123941,6.454612,61.818107,68.272719,123.0,55.878616,2.0,0.73919,125.0,56.617806,126.0,56.94648,5.321691,59.338359,64.66005,117.0,62.666735,,,117.0,62.666735,117.0,62.666735,14.902827,65.576347,80.479174,e319e178-e0bf-49c2-9034-0c49cbbe0f87,1.17599134405555,11.6945636971545
79,15560,Murrumbidgee,6880.7902,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15560,4.0,1.137745,,,4.0,1.137745,4.0,1.137745,0.381361,1.551744,1.933105,4.0,1.55856,,,4.0,1.55856,4.0,1.55856,0.64309,1.867169,2.510259,4.0,2.436063,,,4.0,2.436063,4.0,2.436063,0.67188,2.640775,3.312655,10.0,3.099435,,,10.0,3.099435,10.0,3.099435,1.069089,3.403463,4.472552,7.0,2.19177,4.0,0.8,11.0,2.99177,11.0,4.038644,0.12,4.301551,4.421551,4.0,1.355294,,,4.0,1.355294,4.0,1.355294,11.394105,1.355294,12.749399,2.0,0.945609,,,2.0,0.945609,4.0,1.635705,8.726385,2.31307,11.039455,4.0,2.267005,,,4.0,2.267005,4.0,2.267005,8.44376,2.500505,10.944265,7.0,5.76973,,,7.0,5.76973,7.0,6.356129,15.678693,6.581129,22.259822,461dea99-6fd4-4a12-ac29-dfff3344e0ad,0.679012693648019,5.74745522450367
80,15650,Muswellbrook,3404.8841,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15650,28.0,8.458772,,,28.0,8.458772,28.0,8.458772,15.730207,8.911761,24.641968,15.0,4.518052,43.0,7.74,58.0,12.258052,58.0,12.258052,14.125681,12.729409,26.85509,6.0,2.727299,,,6.0,2.727299,6.0,2.727299,6.226254,3.378824,9.605078,12.0,4.181341,5.0,1.4,17.0,5.581341,17.0,5.581341,73.66576,6.095495,79.761255,14.0,5.501959,16.0,2.366925,30.0,7.868884,30.0,7.868884,10.336507,8.577427,18.913934,18.0,7.175351,10.0,1.420155,28.0,8.595506,29.0,8.900506,8.778187,9.445452,18.223639,36.0,13.64922,2.0,0.455,38.0,14.10422,39.0,14.35422,43.01837,15.550327,58.568697,48.0,16.135393,12.0,2.5545,60.0,18.689893,61.0,18.979792,58.134642,20.291728,78.42637,57.0,26.580326,6.0,1.972,63.0,28.552326,63.0,28.552326,21.450028,30.448188,51.898216,794eb87f-53e4-4462-a894-2e3bdec85b22,0.326501003967223,3.9922287265927
81,15700,Nambucca Valley,1491.3431,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15700,66.0,19.429589,1.0,0.44,67.0,19.869589,67.0,19.892689,11.964491,20.001805,31.966296,60.0,18.537242,4.0,0.68957,64.0,19.226812,64.0,19.226812,18.312571,19.758812,38.071383,62.0,17.99079,4.0,0.41452,66.0,18.40531,66.0,18.40531,14.59891,18.930741,33.529651,70.0,21.678672,24.0,7.054983,94.0,28.733655,94.0,28.77088,2.789591,29.882944,32.672535,69.0,24.512547,5.0,1.41265,74.0,25.925197,74.0,25.925197,6.42522,26.712544,33.137764,77.0,29.706491,2.0,0.636209,79.0,30.3427,79.0,30.3427,79.861868,31.639971,111.501839,131.0,45.035707,2.0,0.12,133.0,45.155707,133.0,45.357695,15.393778,47.64668,63.040458,168.0,68.337367,26.0,7.650527,194.0,75.987894,194.0,75.987894,13.814257,78.986155,92.800412,85.0,39.581112,23.0,6.89044,108.0,46.471552,108.0,46.471552,35.104302,48.725339,83.829641,a2572534-f8c5-4ada-8ed4-0e4cdc95fd5d,0.14039768177463,2.06651605240529
82,15750,Narrabri,13014.9937,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15750,31.0,13.294107,,,31.0,13.294107,35.0,14.424107,10.898624,14.424107,25.322731,14.0,6.457204,,,14.0,6.457204,14.0,6.457204,2.823718,6.621809,9.445527,15.0,6.803623,,,15.0,6.803623,15.0,6.803623,41.807829,7.175643,48.983472,10.0,4.266964,,,10.0,4.266964,10.0,4.266964,1.458273,4.551986,6.010259,8.0,4.075957,,,8.0,4.075957,8.0,4.075957,1.612825,4.836168,6.448993,6.0,2.67677,,,6.0,2.67677,6.0,2.67677,8.280781,3.48147,11.762251,4.0,1.784222,,,4.0,1.784222,4.0,7.05192,14.299463,7.45142,21.750883,10.0,4.247697,2.0,0.372173,12.0,4.61987,12.0,6.120974,75.771808,6.81072,82.582528,10.0,5.55355,12.0,2.73,22.0,8.28355,22.0,8.28355,22.593753,8.733601,31.327354,7483bd8f-4da7-45ba-b5f0-601ddf6e9067,1.2211743282719,6.25964774718152
83,15800,Narrandera,4116.3458,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15800,,,,,,,2.0,0.570822,0.135612,0.570822,0.706434,10.0,2.295377,4.0,0.8,14.0,3.095377,14.0,3.095377,64.256829,3.237717,67.494546,5.0,1.1314,,,5.0,1.1314,5.0,1.1314,0.82,1.3974,2.2174,6.0,2.307182,2.0,0.39,8.0,2.697182,8.0,2.697182,15.337532,2.822682,18.160214,6.0,2.328319,2.0,0.24,8.0,2.568319,8.0,3.323267,1.374231,3.655255,5.029486,5.0,2.160128,,,5.0,2.160128,5.0,2.160128,2.944831,2.48589,5.430721,13.0,4.272238,,,13.0,4.272238,13.0,4.594189,6.632449,4.955589,11.588038,13.0,5.688916,2.0,0.6578,15.0,6.346716,15.0,6.346716,5.287597,6.828377,12.115974,8.0,5.154943,4.0,0.64,12.0,5.794943,14.0,6.724118,6.872019,7.170232,14.042251,536e4559-5e2f-4ad5-82f2-739b5b24114c,0.404575529381418,3.96593262252936
84,15850,Narromine,5261.5165,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15850,14.0,3.95064,,,14.0,3.95064,15.0,4.29664,2.93,5.504649,8.434649,13.0,3.806639,4.0,0.5,17.0,4.306639,17.0,4.306639,1.95,5.370491,7.320491,8.0,2.167342,,,8.0,2.167342,8.0,2.167342,3.6298,2.566032,6.195832,9.0,3.549878,4.0,0.5,13.0,4.049878,13.0,4.049878,4.910315,4.127728,9.038043,6.0,3.118454,,,6.0,3.118454,6.0,3.268854,1.619,3.348494,4.967494,5.0,1.7565,,,5.0,1.7565,5.0,1.7565,1.07764,1.974765,3.052405,15.0,4.238893,,,15.0,4.238893,15.0,4.238893,2.658965,4.262773,6.921738,9.0,4.883126,10.0,3.56376,19.0,8.446886,19.0,8.446886,7.677617,8.532046,16.209663,6.0,4.985461,,,6.0,4.985461,6.0,4.985461,1.092341,6.066231,7.158572,2d1c422e-464c-4a61-89f3-5a44c4e39cff,0.503371589212747,4.15463659517144
85,15900,Newcastle,186.7255,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15900,302.0,143.26296,529.0,137.71686,831.0,280.97982,831.0,281.354561,232.960457,283.121351,516.081808,286.0,133.732168,867.0,195.728317,1153.0,329.460485,1153.0,329.460485,276.046373,334.412204,610.458577,384.0,160.903639,866.0,214.218812,1250.0,375.122451,1250.0,375.122451,197.473307,380.453884,577.927191,344.0,171.057681,1338.0,402.011794,1682.0,573.069475,1690.0,575.683895,235.051139,581.79406,816.845199,312.0,180.164953,856.0,308.635324,1168.0,488.800277,1169.0,490.883916,293.76635,504.245589,798.011939,300.0,165.820726,1261.0,408.461228,1561.0,574.281954,1561.0,574.600023,358.83502,585.807508,944.642528,324.0,229.396564,776.0,258.876388,1100.0,488.272952,1138.0,502.227442,305.979807,524.492072,830.471879,200.0,163.811484,407.0,134.092738,607.0,297.904222,620.0,302.748976,993.623423,311.624467,1305.24789,218.0,194.622496,450.0,164.667978,668.0,359.290474,696.0,374.47087,256.783696,394.522817,651.306513,70306b35-1a04-4bdb-ad4b-ca36643eff5f,0.0179920212463003,1.26906945667676
86,15950,North Sydney,10.491,https://linked.data.gov.au/dataset/asgsed3/LGA2022/15950,8.0,52.960806,190.0,57.65005,198.0,110.610856,216.0,128.060487,233.025105,145.140991,378.166096,17.0,77.038225,615.0,235.628971,632.0,312.667196,632.0,312.667196,116.824178,318.782502,435.60668,14.0,91.415669,1194.0,553.536773,1208.0,644.952442,1208.0,644.952442,594.839912,654.394838,1249.23475,24.0,100.409282,230.0,91.857632,254.0,192.266914,254.0,192.266914,525.970718,198.04754,724.018258,18.0,70.999992,87.0,47.824302,105.0,118.824294,105.0,118.824294,389.195149,133.094671,522.28982,6.0,72.084488,160.0,113.073403,166.0,185.157891,166.0,185.157891,278.278208,192.548917,470.827125,5.0,55.018467,86.0,62.41387,91.0,117.432337,91.0,117.432337,774.657469,126.124662,900.782131,7.0,78.014299,85.0,66.642592,92.0,144.656891,92.0,144.854891,191.867166,153.318299,345.185465,12.0,103.755854,252.0,181.126554,264.0,284.882408,264.0,284.882408,300.886951,302.710487,603.597438,8b0948b9-ad23-495d-b315-d6e5c111f951,0.00102175803885984,0.265366756765884
