objectid,lga_code_2022,lga_name_2022,area_albers_sqkm,asgs_loci_uri_2022,psh_dwl_1415,psh_val_1415,pxh_dwl_1415,pxh_val_1415,ptot_dwl_1415,pdwl_val_1415,totdwl_dwl_1415,totdwl_val_1415,nonres_val_1415,res_val_1415,tbld_val_1415,psh_dwl_1516,psh_val_1516,pxh_dwl_1516,pxh_val_1516,ptot_dwl_1516,pdwl_val_1516,totdwl_dwl_1516,totdwl_val_1516,nonres_val_1516,res_val_1516,tbld_val_1516,psh_dwl_1617,psh_val_1617,pxh_dwl_1617,pxh_val_1617,ptot_dwl_1617,pdwl_val_1617,totdwl_dwl_1617,totdwl_val_1617,nonres_val_1617,res_val_1617,tbld_val_1617,psh_dwl_1718,psh_val_1718,pxh_dwl_1718,pxh_val_1718,ptot_dwl_1718,pdwl_val_1718,totdwl_dwl_1718,totdwl_val_1718,nonres_val_1718,res_val_1718,tbld_val_1718,psh_dwl_1819,psh_val_1819,pxh_dwl_1819,pxh_val_1819,ptot_dwl_1819,pdwl_val_1819,totdwl_dwl_1819,totdwl_val_1819,nonres_val_1819,res_val_1819,tbld_val_1819,psh_dwl_1920,psh_val_1920,pxh_dwl_1920,pxh_val_1920,ptot_dwl_1920,pdwl_val_1920,totdwl_dwl_1920,totdwl_val_1920,nonres_val_1920,res_val_1920,tbld_val_1920,psh_dwl_2021,psh_val_2021,pxh_dwl_2021,pxh_val_2021,ptot_dwl_2021,pdwl_val_2021,totdwl_dwl_2021,totdwl_val_2021,nonres_val_2021,res_val_2021,tbld_val_2021,psh_dwl_2122,psh_val_2122,pxh_dwl_2122,pxh_val_2122,ptot_dwl_2122,pdwl_val_2122,totdwl_dwl_2122,totdwl_val_2122,nonres_val_2122,res_val_2122,tbld_val_2122,psh_dwl_2223,psh_val_2223,pxh_dwl_2223,pxh_val_2223,ptot_dwl_2223,pdwl_val_2223,totdwl_dwl_2223,totdwl_val_2223,nonres_val_2223,res_val_2223,tbld_val_2223,globalid,Shape__Area,Shape__Length
1,10050,Albury,305.6386,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10050,395.0,129.083139,85.0,16.795924,480.0,145.879063,480.0,145.879063,41.631779,145.920287,187.552066,471.0,143.509074,76.0,14.43978,547.0,157.948854,547.0,157.948854,40.366823,157.948854,198.315677,311.0,119.007098,20.0,3.780688,331.0,122.787786,331.0,122.787786,67.909345,122.591636,190.500981,251.0,96.405329,54.0,12.53,305.0,108.935329,305.0,108.935329,25.441167,109.15501,134.596177,301.0,115.224082,31.0,8.157622,332.0,123.381704,332.0,123.381704,20.78893,125.269686,146.058616,348.0,128.88506,47.0,21.335612,395.0,150.220672,395.0,150.269372,46.495757,157.31231,203.808067,542.0,201.307246,23.0,5.389068,565.0,206.696314,569.0,208.659182,80.688033,216.424463,297.112496,366.0,160.041639,42.0,15.858685,408.0,175.900324,408.0,175.900324,59.741523,180.656012,240.397535,359.0,174.255185,48.0,32.497934,407.0,206.753119,411.0,208.124462,84.268541,215.708399,299.97694,b2883f08-58a2-4abf-8e0b-a155013fd00c,0.0305604098057302,1.32176762431458
2,10180,Armidale,7809.4406,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10180,60.0,20.480874,22.0,3.644917,82.0,24.125791,86.0,25.259276,34.646426,25.942037,60.588463,87.0,26.418038,39.0,8.48208,126.0,34.900118,129.0,35.771274,4.696342,36.971565,41.667907,33.0,12.677677,6.0,0.87024,39.0,13.547917,39.0,13.547917,45.815898,14.135558,59.951456,27.0,11.846435,52.0,9.19645,79.0,21.042885,79.0,21.042885,4.702169,22.038535,26.740704,16.0,6.024734,2.0,0.3775,18.0,6.402234,18.0,6.402234,94.995383,7.536386,102.531769,26.0,11.167578,4.0,0.57385,30.0,11.741428,30.0,11.835251,6.857822,13.118049,19.975871,44.0,19.903285,1.0,0.4036,45.0,20.306885,45.0,20.306885,15.14777,21.442295,36.590065,52.0,21.748989,,,52.0,21.748989,62.0,25.392479,45.642445,26.490428,72.132873,81.0,39.444656,20.0,8.530887,101.0,47.975543,109.0,52.68736,27.369326,55.248817,82.618143,0f7d4d6c-14ea-433d-b1e7-6bcfcef725d9,0.732824737156079,6.03458271577024
3,10250,Ballina,484.9692,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10250,255.0,82.959727,65.0,14.223125,320.0,97.182852,322.0,97.647852,17.775109,99.446058,117.221167,301.0,87.500222,66.0,21.457605,367.0,108.957827,367.0,108.957827,49.401386,105.303917,154.705303,255.0,98.573855,83.0,21.339627,338.0,119.913482,338.0,119.913482,14.487967,120.360852,134.848819,188.0,70.798867,32.0,8.120748,220.0,78.919615,220.0,78.934085,78.97365,79.5104,158.48405,319.0,111.003977,52.0,14.088217,371.0,125.092194,371.0,125.422194,68.170473,125.408679,193.579152,258.0,107.211675,175.0,50.570491,433.0,157.782166,433.0,157.782166,29.972638,158.691802,188.66444,293.0,126.298367,67.0,19.649421,360.0,145.947788,361.0,146.164293,22.467189,147.315961,169.78315,204.0,107.443241,68.0,25.018538,272.0,132.461779,272.0,132.625751,20.368206,136.388034,156.75624,219.0,130.033385,91.0,38.809549,310.0,168.842934,310.0,169.498556,33.493855,173.32921,206.823065,29fcc10b-ef23-42a0-8dcf-4fe08620612f,0.0448434369468487,1.51112127170985
4,10300,Balranald,21690.7493,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10300,,,,,,,,,,,,5.0,1.817625,,,5.0,1.817625,5.0,1.817625,0.74085,2.159305,2.900155,,,,,,,,,2.327,0.0322,2.3592,1.0,0.259,,,1.0,0.259,1.0,0.259,0.05,2.210884,2.260884,3.0,1.156939,,,3.0,1.156939,3.0,1.156939,0.57,1.156939,1.726939,4.0,1.858176,,,4.0,1.858176,4.0,1.858176,3.441871,2.003972,5.445843,13.0,4.963523,,,13.0,4.963523,13.0,6.076276,4.538308,6.242627,10.780935,7.0,2.714108,,,7.0,2.714108,7.0,2.714108,7.095106,2.853108,9.948214,2.0,1.114653,,,2.0,1.114653,2.0,1.114653,3.764968,1.340505,5.105473,059b2de0-2d7a-4604-9a82-06cdd9b786d1,2.11552808722536,11.4899119511329
5,10470,Bathurst,3817.8645,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10470,255.0,75.84483,122.0,23.495,377.0,99.33983,377.0,99.38453,61.07567,100.439021,161.514691,304.0,83.28284,85.0,13.50205,389.0,96.78489,412.0,102.34032,35.413361,103.775599,139.18896,307.0,83.544163,100.0,22.150685,407.0,105.694848,411.0,106.666503,53.452544,108.779193,162.231737,219.0,73.68169,71.0,16.147415,290.0,89.829105,290.0,89.829105,22.873966,91.738319,114.612285,191.0,66.12023,28.0,7.2456,219.0,73.36583,219.0,73.36583,146.162933,75.516645,221.679578,216.0,81.475482,78.0,17.264309,294.0,98.739791,296.0,99.468546,20.518636,100.666378,121.185014,309.0,126.854113,44.0,10.381315,353.0,137.235428,354.0,137.992024,35.331455,141.00793,176.339385,204.0,97.452188,43.0,11.206363,247.0,108.658551,247.0,109.04118,48.20838,112.174483,160.382863,113.0,60.406006,49.0,16.910885,162.0,77.316891,162.0,77.661543,44.980852,80.563259,125.544111,7a641757-89be-490f-9749-89c97d95b755,0.370148777416034,5.39511407526542
6,10500,Bayside (NSW),50.6204,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10500,200.0,76.212277,3272.0,905.30738,3472.0,981.519657,3472.0,981.519657,429.872999,984.373104,1414.246103,246.0,105.315595,1930.0,657.231036,2176.0,762.546631,2176.0,762.546631,323.015922,763.28334,1086.299262,247.0,108.732736,3110.0,1033.649485,3357.0,1142.382221,3360.0,1144.00622,339.043159,1146.504985,1485.548144,240.0,107.51872,2316.0,790.115034,2556.0,897.633754,2556.0,897.633754,280.20332,894.426777,1174.630097,182.0,91.111842,2189.0,695.637039,2371.0,786.748881,2371.0,786.748881,382.673863,788.120613,1170.794476,167.0,87.700696,281.0,123.047401,448.0,210.748097,472.0,219.995577,602.35014,227.671116,830.021256,138.0,94.00484,914.0,321.305793,1052.0,415.310633,1069.0,421.43599,265.873987,426.160242,692.034229,160.0,122.666578,575.0,200.94429,735.0,323.610868,739.0,324.846798,439.201764,330.639501,769.841265,132.0,115.918109,672.0,291.987661,804.0,407.90577,804.0,407.90577,579.499802,414.588608,994.08841,c295bffe-f16c-434d-b98b-9ea0ffce0828,0.00493713955120256,0.576414859777446
7,10550,Bega Valley,6278.5013,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10550,168.0,58.941501,20.0,3.9,188.0,62.841501,188.0,62.861501,20.631319,65.254534,85.885853,209.0,71.669197,4.0,0.731,213.0,72.400197,213.0,72.400197,34.048749,74.102714,108.151463,189.0,73.672501,21.0,5.801546,210.0,79.474047,210.0,79.474047,11.279147,80.601526,91.880673,184.0,69.299418,24.0,4.907534,208.0,74.206952,208.0,74.206952,16.477773,77.907653,94.385426,187.0,87.279101,30.0,8.200766,217.0,95.479867,221.0,96.730767,14.901968,99.577168,114.479136,126.0,58.740422,17.0,6.83728,143.0,65.577702,143.0,65.577702,45.006415,67.880652,112.887067,172.0,77.347085,16.0,7.047575,188.0,84.39466,188.0,84.898565,33.257028,85.625567,118.882595,126.0,71.1083,47.0,13.232782,173.0,84.341082,175.0,85.356081,57.192763,90.242078,147.434841,133.0,79.312606,74.0,26.819787,207.0,106.132393,207.0,106.132393,22.52955,108.981602,131.511152,591c9626-e2b8-4acc-a2e4-c2d6ba34cfef,0.634170324692604,6.14082057609557
8,10600,Bellingen,1600.4338,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10600,27.0,7.988072,8.0,1.758,35.0,9.746072,35.0,9.746072,1.907,9.185255,11.092255,23.0,6.287432,3.0,0.485,26.0,6.772432,26.0,6.772432,0.29,7.27845,7.56845,20.0,6.994582,,,20.0,6.994582,20.0,6.994582,1.809024,7.710102,9.519126,33.0,9.740142,,,33.0,9.740142,33.0,9.740142,0.981727,10.235715,11.217442,27.0,9.17207,16.0,3.166,43.0,12.33807,43.0,12.33807,2.179201,12.90487,15.084071,23.0,7.868924,8.0,1.6,31.0,9.468924,31.0,9.468924,6.190959,9.937001,16.12796,14.0,7.316332,15.0,11.06,29.0,18.376332,31.0,19.263858,0.447731,19.674969,20.1227,26.0,10.216729,,,26.0,10.216729,26.0,10.216729,3.576668,11.206366,14.783034,32.0,16.13077,,,32.0,16.13077,32.0,16.13077,8.291786,16.760382,25.052168,18f1df65-4475-4924-8425-21576e7d065b,0.150235002870886,2.31147779771911
9,10650,Berrigan,2065.8878,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10650,45.0,14.706276,,,45.0,14.706276,45.0,14.706276,2.473973,15.458763,17.932736,52.0,17.619714,,,52.0,17.619714,52.0,17.619714,7.251233,18.270168,25.521401,45.0,14.065513,8.0,1.968,53.0,16.033513,56.0,17.059513,7.501393,17.739344,25.240737,38.0,11.816733,1.0,0.48,39.0,12.296733,39.0,12.296733,20.842146,12.457467,33.299613,45.0,15.07406,,,45.0,15.07406,45.0,15.07406,5.677095,16.302212,21.979307,27.0,10.770773,,,27.0,10.770773,27.0,10.770773,3.624944,11.23741,14.862354,33.0,12.322812,,,33.0,12.322812,34.0,13.122812,3.327342,14.128838,17.45618,54.0,20.966621,,,54.0,20.966621,54.0,20.966621,12.178087,22.77694,34.955027,44.0,22.465618,3.0,0.8976,47.0,23.363218,47.0,23.363218,3.899646,24.853166,28.752812,925f60ef-295b-4e6d-8b7b-f710c591e5c5,0.205817890297567,2.91769996684886
10,10750,Blacktown,238.8471,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10750,2488.0,650.623667,873.0,140.616162,3361.0,791.239829,3378.0,796.524729,359.611341,802.681781,1162.293122,2843.0,785.875251,1425.0,302.418356,4268.0,1088.293607,4276.0,1092.046627,525.213443,1094.109138,1619.322581,2997.0,799.206143,1256.0,294.067444,4253.0,1093.273587,4253.0,1094.22377,823.663802,1094.416146,1918.079948,3010.0,809.967875,2307.0,561.479038,5317.0,1371.446913,5317.0,1372.806663,556.801862,1374.975578,1931.77744,3192.0,925.23129,2058.0,528.080776,5250.0,1453.312066,5256.0,1455.771345,776.957267,1453.328567,2230.285834,2863.0,791.242962,1546.0,380.933942,4409.0,1172.176904,4440.0,1181.995634,940.428441,1184.20736,2124.635801,3535.0,1026.393636,3202.0,832.589364,6737.0,1858.983,6762.0,1867.63848,825.482445,1858.210764,2683.693209,2551.0,873.340292,3120.0,883.005934,5671.0,1756.346226,5716.0,1774.876198,888.4685,1778.617057,2667.085557,2084.0,827.772405,2186.0,632.405668,4270.0,1460.178073,4300.0,1472.500376,714.216329,1476.388507,2190.604836,1e16a090-79a8-43d2-9487-7438f2608cf6,0.0232385342424095,0.741290550227582
11,10800,Bland,8557.6536,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10800,9.0,2.104589,,,9.0,2.104589,9.0,2.104589,1.22,2.363317,3.583317,3.0,1.04059,,,3.0,1.04059,4.0,1.49059,6.3476,1.775726,8.123326,9.0,3.144389,2.0,0.26,11.0,3.404389,11.0,3.404389,2.165,3.599174,5.764174,10.0,3.73105,,,10.0,3.73105,10.0,3.73105,0.15,3.998664,4.148664,19.0,5.54539,5.0,0.94,24.0,6.48539,24.0,6.48539,1.35056,6.87213,8.22269,14.0,4.9413,,,14.0,4.9413,14.0,4.9413,9.081157,5.23852,14.319677,19.0,7.494505,,,19.0,7.494505,19.0,8.760712,5.775137,9.13439,14.909527,15.0,6.059008,6.0,1.542725,21.0,7.601733,21.0,7.601733,19.197874,8.37632,27.574194,7.0,3.073581,3.0,0.619073,10.0,3.692654,10.0,3.692654,9.212995,3.866094,13.079089,bfbff052-cbae-41fb-b983-6459f1bc806f,0.834081970328953,5.65858788765292
12,10850,Blayney,1524.647,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10850,13.0,4.935971,,,13.0,4.935971,13.0,4.935971,0.846543,5.06522,5.911763,11.0,4.376345,,,11.0,4.376345,11.0,4.376345,1.303483,4.755005,6.058488,7.0,3.1989,,,7.0,3.1989,7.0,3.1989,1.39132,3.542,4.93332,30.0,10.100535,,,30.0,10.100535,30.0,10.100535,4.782455,10.210635,14.99309,18.0,7.197032,,,18.0,7.197032,18.0,7.197032,2.6454,7.36514,10.01054,11.0,6.665495,2.0,0.5,13.0,7.165495,13.0,7.165495,1.300565,7.413464,8.714029,20.0,9.78943,2.0,0.56432,22.0,10.35375,22.0,10.625658,0.16,10.914483,11.074483,30.0,14.399506,2.0,0.54,32.0,14.939506,32.0,14.939506,23.359753,15.545591,38.905344,33.0,19.818516,,,33.0,19.818516,33.0,19.818516,2.730173,20.999718,23.729891,43895f18-df11-4076-9bab-4ee0eea3ba4a,0.14809141903379,2.28606621339244
13,10900,Blue Mountains,1431.1442,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10900,224.0,102.61779,25.0,4.69308,249.0,107.31087,249.0,107.31087,5.514349,112.963774,118.478123,253.0,112.142808,26.0,3.741115,279.0,115.883923,279.0,115.883923,10.746322,120.528184,131.274506,249.0,116.736376,71.0,11.068991,320.0,127.805367,320.0,127.805367,29.034183,131.884941,160.919124,220.0,101.089605,60.0,15.729185,280.0,116.81879,280.0,116.81879,24.255058,123.543234,147.798292,171.0,77.27905,48.0,17.975415,219.0,95.254465,219.0,95.254465,22.915016,102.255932,125.170948,141.0,70.785507,6.0,1.327225,147.0,72.112732,147.0,72.112732,38.752798,77.732146,116.484944,175.0,98.824018,42.0,6.66326,217.0,105.487278,217.0,105.487278,15.330674,110.966462,126.297136,140.0,82.610412,24.0,7.996516,164.0,90.606928,164.0,90.626928,45.809821,97.233535,143.043356,107.0,72.208798,40.0,13.272839,147.0,85.481637,147.0,85.481637,61.786395,89.599933,151.386328,4982851b-259d-40c1-9ce6-3461378c1f8f,0.139172971469634,3.09787950379781
14,10950,Bogan,14599.8996,https://linked.data.gov.au/dataset/asgsed3/LGA2022/10950,2.0,0.911,,,2.0,0.911,2.0,0.911,0.18,0.955,1.135,3.0,1.289506,,,3.0,1.289506,3.0,1.289506,4.2016,1.358506,5.560106,9.0,2.352099,,,9.0,2.352099,9.0,2.367079,0.81,2.504279,3.314279,2.0,0.60172,,,2.0,0.60172,2.0,0.60172,1.043289,0.72372,1.767009,3.0,2.131,2.0,0.998,5.0,3.129,5.0,3.144,5.7,3.23961,8.93961,0.0,0.0245,4.0,0.96,4.0,0.9845,4.0,0.9845,4.04137,1.0605,5.10187,4.0,1.28,7.0,1.821,11.0,3.101,11.0,3.482424,4.706411,3.640424,8.346835,12.0,6.05329,,,12.0,6.05329,12.0,6.05329,2.624785,6.11129,8.736075,9.0,4.160691,,,9.0,4.160691,12.0,6.122894,0.669,6.384894,7.053894,52fadf8f-760a-4c29-b6f9-6de922fa1126,1.38661461573838,7.41067738370892
15,11150,Bourke,41598.3722,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11150,4.0,0.937689,,,4.0,0.937689,9.0,2.921275,0.929433,2.961275,3.890708,3.0,1.125,,,3.0,1.125,3.0,1.1374,0.348,1.1754,1.5234,2.0,0.958999,,,2.0,0.958999,6.0,3.444954,60.490205,3.464454,63.954659,,,,,,,,,1.1246,0.016,1.1406,0.0,0.02,,,0.0,0.02,2.0,0.68609,4.089503,0.73309,4.822593,1.0,0.165,,,1.0,0.165,3.0,5.180849,0.59645,5.328849,5.925299,2.0,0.9015,,,2.0,0.9015,2.0,0.9015,1.584095,0.935,2.519095,0.0,0.03,,,0.0,0.03,0.0,0.03,0.35101,0.0962,0.44721,1.0,1.04927,,,1.0,1.04927,4.0,3.377955,5.597738,3.396955,8.994693,20e3cab8-4560-4419-939e-6b6d48104313,3.88597290706275,10.6190349265777
16,11200,Brewarrina,19162.0296,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11200,,,,,,,,,0.3,0.01,0.31,1.0,0.22184,,,1.0,0.22184,8.0,2.691095,0.655,2.691095,3.346095,4.0,1.071688,,,4.0,1.071688,6.0,1.500688,1.326501,1.894476,3.220977,0.0,0.05,,,0.0,0.05,6.0,2.12307,0.579513,2.17707,2.756583,,0.055,,,,0.055,14.0,1.455,2.116329,1.475,3.591329,,0.05,,,,0.05,,0.05,2.943,0.05,2.993,,0.02,,,,0.02,0.0,0.415838,0.762,0.442138,1.204138,3.0,2.09467,,,3.0,2.09467,4.0,2.48423,0.13,2.53623,2.66623,,,,,,,5.0,2.773979,0.65,2.773979,3.423979,a70678cf-4a92-4101-b4da-812b605c90e1,1.78796378978359,9.88993546752901
17,11250,Broken Hill,170.1153,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11250,10.0,3.976861,,,10.0,3.976861,10.0,3.993064,8.205378,4.451029,12.656407,6.0,2.069217,,,6.0,2.069217,6.0,2.806675,11.800098,3.378158,15.178256,10.0,2.659705,,,10.0,2.659705,10.0,2.659705,4.829586,2.784695,7.614281,9.0,4.678891,,,9.0,4.678891,17.0,8.124399,46.746801,8.260299,55.0071,10.0,4.875395,,,10.0,4.875395,11.0,6.844834,15.932554,6.97124,22.903794,7.0,3.266096,,,7.0,3.266096,7.0,3.266096,15.13197,3.551096,18.683066,6.0,4.873654,,,6.0,4.873654,6.0,4.873654,9.570385,5.075154,14.645539,9.0,4.558788,1.0,0.03995,10.0,4.598738,10.0,4.598738,25.226489,5.420182,30.646671,4.0,3.843693,,,4.0,3.843693,4.0,3.843693,12.529226,4.577078,17.106304,191f1e2d-99e2-499a-8513-1a45bb466d09,0.0162258192067384,0.610208145840146
18,11300,Burwood,7.1282,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11300,28.0,16.328136,266.0,75.324779,294.0,91.652915,294.0,91.652915,23.474706,91.904631,115.379337,39.0,31.429519,487.0,128.730838,526.0,160.160357,526.0,160.560357,69.001881,161.562766,230.564647,58.0,37.247107,700.0,210.77496,758.0,248.022067,758.0,248.022067,40.93258,249.285067,290.217647,52.0,39.703831,676.0,197.839803,728.0,237.543634,728.0,237.543634,163.55264,238.366621,401.919261,45.0,32.254219,226.0,96.586316,271.0,128.840535,271.0,128.840535,23.34716,129.411018,152.758178,54.0,40.931064,266.0,101.719368,320.0,142.650432,320.0,142.650432,81.006384,143.474208,224.480592,28.0,26.180958,147.0,44.851565,175.0,71.032523,175.0,71.032523,42.093598,71.094523,113.188121,57.0,45.121726,57.0,25.563917,114.0,70.685643,114.0,70.685643,46.785394,71.266333,118.051727,46.0,39.2165,316.0,127.0031,362.0,166.2196,362.0,166.2196,94.247096,167.178612,261.425708,8ea5582a-b4d2-4de6-afde-8fa0ebfb8e92,0.000694723517881357,0.11916527814494
19,11350,Byron,565.8027,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11350,195.0,71.286084,47.0,19.083425,242.0,90.369509,242.0,90.369509,117.358448,90.408484,207.766932,195.0,68.952638,29.0,8.970827,224.0,77.923465,224.0,77.923465,33.184809,77.061953,110.246762,248.0,84.886145,55.0,13.554442,303.0,98.440587,303.0,98.440587,73.450093,99.409017,172.85911,217.0,95.651568,55.0,13.653155,272.0,109.304723,272.0,109.304723,31.086172,111.234573,142.320745,240.0,95.870256,130.0,38.437527,370.0,134.307783,370.0,134.307783,24.466979,129.058208,153.525187,239.0,106.217068,63.0,18.891932,302.0,125.109,302.0,125.109,23.56587,125.117722,148.683592,191.0,102.455624,87.0,38.402284,278.0,140.857908,278.0,140.857908,56.631849,143.257296,199.889145,135.0,113.903269,72.0,29.488876,207.0,143.392145,207.0,143.392145,28.504152,143.244241,171.748393,153.0,125.059531,31.0,19.085521,184.0,144.145052,184.0,144.145052,60.260558,145.942636,206.203194,ea2a9362-969f-43de-9cd5-406b62c17937,0.0521959776610856,1.5592983893132
20,11400,Cabonne,6022.3496,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11400,31.0,14.073878,,,31.0,14.073878,31.0,14.073878,6.146981,14.666176,20.813157,43.0,16.992359,2.0,0.25,45.0,17.242359,45.0,17.242359,13.64092,18.102443,31.743363,33.0,13.159512,16.0,3.059637,49.0,16.219149,49.0,16.219149,3.183627,17.245362,20.428989,32.0,14.115162,2.0,0.25,34.0,14.365162,34.0,14.365162,4.834503,15.562512,20.397015,25.0,11.404086,8.0,1.7543,33.0,13.158386,33.0,13.158386,2.993872,14.078655,17.072527,32.0,15.77939,4.0,1.16,36.0,16.93939,36.0,16.93939,1.2629,17.385147,18.648047,50.0,24.857009,14.0,5.265122,64.0,30.122131,64.0,30.122131,7.254288,32.176191,39.430479,66.0,34.734326,6.0,2.471,72.0,37.205326,72.0,37.205326,13.126374,38.882839,52.009213,45.0,29.90551,7.0,3.2944,52.0,33.19991,52.0,33.19991,8.418207,35.076797,43.495004,d6c45835-2c15-4a5c-844f-3dd69215479d,0.582059950240364,6.71622612148118
21,11450,Camden,201.5278,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11450,2043.0,591.968843,58.0,13.847681,2101.0,605.816524,2101.0,605.816524,302.133765,607.998578,910.132343,2502.0,791.129093,214.0,43.946503,2716.0,835.075596,2717.0,836.360596,123.734517,838.08822,961.822737,2748.0,860.561091,243.0,53.714719,2991.0,914.27581,2991.0,914.27581,258.847112,915.720323,1174.567435,2910.0,939.8754,623.0,158.594639,3533.0,1098.470039,3533.0,1098.470039,222.376282,1099.836947,1322.213229,2066.0,682.779772,482.0,132.731835,2548.0,815.511607,2548.0,815.511607,359.305427,816.612852,1175.918279,1637.0,520.828481,440.0,107.800769,2077.0,628.62925,2087.0,631.83065,195.636129,632.440999,828.077128,2068.0,679.669784,368.0,108.326858,2436.0,787.996642,2436.0,787.996642,285.47217,789.510845,1074.983015,2040.0,792.252276,430.0,122.779085,2470.0,915.031361,2470.0,915.031361,501.182984,916.702561,1417.885545,1238.0,563.733542,499.0,222.359463,1737.0,786.093005,1738.0,786.320095,719.957932,790.741572,1510.699504,f94609e9-08d8-4a8f-b252-5674b1337d9f,0.0196679022537865,0.781939032252249
22,11500,Campbelltown (NSW),311.4117,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11500,645.0,159.517944,629.0,123.95829,1274.0,283.476234,1359.0,308.053457,107.872851,309.483529,417.35638,981.0,267.747016,495.0,106.544167,1476.0,374.291183,1536.0,391.832964,316.427607,393.887711,710.315318,1045.0,287.080411,474.0,100.320069,1519.0,387.40048,1568.0,406.685277,105.856927,407.88954,513.746467,1182.0,347.676087,588.0,154.336339,1770.0,502.012426,1831.0,523.405662,201.181894,526.071977,727.253871,1378.0,417.211935,448.0,114.161917,1826.0,531.373852,1867.0,546.139029,156.863091,547.567831,704.430922,989.0,307.314358,651.0,163.692589,1640.0,471.006947,1676.0,483.535434,614.044795,484.892026,1098.936821,1122.0,366.158664,536.0,111.432456,1658.0,477.59112,1678.0,484.566016,181.921756,485.38317,667.304926,765.0,274.820479,382.0,120.935719,1147.0,395.756198,1217.0,416.065097,376.976253,419.250793,796.227046,731.0,266.378292,267.0,78.478857,998.0,344.857149,1030.0,356.498489,165.756685,366.968038,532.724723,69b96060-559f-412d-9b19-a057edeaf565,0.0304183427115277,0.992641695286971
23,11520,Canada Bay,19.9239,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11520,109.0,86.477133,845.0,289.621072,954.0,376.098205,965.0,379.037999,54.073274,384.430372,438.503646,99.0,93.977127,124.0,39.27151,223.0,133.248637,223.0,133.248637,132.315896,134.425006,266.740902,115.0,112.736427,430.0,155.506344,545.0,268.242771,545.0,268.242771,57.989726,271.21737,329.207096,111.0,119.221935,746.0,339.132532,857.0,458.354467,857.0,458.354467,132.301926,462.023821,594.325747,108.0,99.781128,289.0,102.258326,397.0,202.039454,397.0,202.039454,132.678646,208.260539,340.939185,90.0,87.608654,539.0,255.02432,629.0,342.632974,629.0,342.716771,491.314585,348.54575,839.860335,114.0,120.384802,199.0,101.49537,313.0,221.880172,313.0,221.880172,65.405899,229.723637,295.129536,120.0,143.246634,168.0,78.82688,288.0,222.073514,288.0,222.073514,45.869284,224.663251,270.532535,108.0,142.456175,654.0,261.143901,762.0,403.600076,762.0,403.600076,372.988407,409.373674,782.362081,fa95b825-86d1-4803-98f9-51fc86194fb4,0.00194089491333216,0.438232040681325
24,11570,Canterbury-Bankstown,110.2374,https://linked.data.gov.au/dataset/asgsed3/LGA2022/11570,690.0,190.143147,2805.0,690.601525,3495.0,880.744672,3632.0,916.690823,188.166682,923.737047,1111.903729,905.0,243.24777,2974.0,713.785918,3879.0,957.033688,3982.0,984.24816,207.045089,986.094772,1193.139861,730.0,210.737593,1960.0,508.795073,2690.0,719.532666,2730.0,730.796543,130.258061,735.581236,865.839297,732.0,220.583621,2457.0,681.699251,3189.0,902.282872,3314.0,940.588068,243.086959,944.621324,1187.708283,728.0,220.280832,1089.0,321.066652,1817.0,541.347484,1866.0,557.325448,447.358736,559.432548,1006.791284,660.0,223.515413,1626.0,531.828255,2286.0,755.343668,2414.0,798.411312,265.997877,795.160577,1061.158454,726.0,278.062445,1097.0,349.488463,1823.0,627.550908,1873.0,643.020201,475.475866,644.194833,1119.670699,596.0,279.251352,1318.0,462.158262,1914.0,741.409614,1990.0,769.635462,472.704371,772.902314,1245.606685,545.0,282.94271,940.0,404.71234,1485.0,687.65505,1502.0,695.513064,391.914997,704.467705,1096.382702,adfef212-7037-48f2-9ce0-c3b8ea935c19,0.0107476703929024,0.710778006903495
